"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"277109","occ","","","26452","Pisanosaurus mertii","species","64409","Carnian","","237","228","7278"
"280099","occ","","","26760","Edmontosaurus annectens","species","54239","Late Maastrichtian","","70.6","66","7389"
"280100","occ","","","26760","Troodon formosus","species","54818","Late Maastrichtian","","70.6","66","7389"
"280101","occ","","","26760","Tyrannosaurus rex","species","54833","Late Maastrichtian","","70.6","66","7389"
"280197","occ","","","26766","Gryposaurus notabilis","species","63251","Late Campanian","","83.5","70.6","7398"
"280542","occ","","","26775","Maiasaura peeblesorum","species","55574","Middle Campanian","Late Campanian","83.5","70.6","7402"
"280571","occ","","","26779","Brachylophosaurus canadensis","species","65213","Middle Campanian","","83.5","70.6","7405"
"280572","occ","10065","","13281","Troodon formosus","species","54818","Campanian","","83.6","72.1","7406"
"280829","occ","19290","","26790","Cumnoria prestwichii","species","64407","Late Kimmeridgian","","155.7","150.8","7419"
"280867","occ","13277","","26791","Hypsilophodon foxii","species","54190","Late Barremian","","130","125.45","12803"
"280927","occ","","","26795","Duriatitan humerocristatus","species","67006","Late Kimmeridgian","","155.7","150.8","7423"
"280983","occ","","","26796","Ornithopsis hulkei","species","54173","Late Hauterivian","Early Aptian","136.4","122.46","7425"
"280989","occ","","","26797","Mantellisaurus atherfieldensis","species","64255","Late Hauterivian","Early Barremian","136.4","125.45","7426"
"280990","occ","21389","","26799","Polacanthus foxii","species","52785","Late Barremian","Early Aptian","130","122.46","7427"
"281688","occ","","","26819","Telmatornis priscus","species","119225","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281691","occ","","","26819","Tytthostonyx glauconiticus","species","143478","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"283057","occ","13410","","26931","Histriasaurus boscarollii","species","68180","Late Hauterivian","Early Barremian","136.4","125.45","14252"
"283828","occ","12362","","26998","Plateosaurus longiceps","species","64684","Alaunian","","215.56","212","12994"
"283860","occ","12361","","26996","Plateosaurus longiceps","species","64684","Alaunian","","215.56","212","12994"
"283992","occ","","","27009","Parvicursor remotus","species","68183","Middle Campanian","Late Campanian","83.5","70.6","7467"
"284027","occ","13156","","27012","Pantydraco caducus","species","57689","Rhaetian","","208.5","201.3","10661"
"284147","occ","","","27017","Utahraptor ostrommaysi","species","66450","Barremian","","129.4","125","7471"
"284148","occ","12055","","27017","Gastonia burgei","species","63701","Barremian","","129.4","125","7504"
"284613","occ","","","27025","Utahraptor ostrommaysi","species","66450","Early Aptian","","125.45","122.46","14740"
"284615","occ","33294","","27025","Moabosaurus utahensis","species","351931","Early Aptian","","125.45","122.46","62146"
"284616","occ","33295","","27025","Moabosaurus utahensis","species","351931","Early Aptian","","125.45","122.46","62146"
"284618","occ","12056","","27025","Gastonia burgei","species","63701","Early Aptian","","125.45","122.46","7504"
"285083","occ","13281","","27067","Eolambia caroljonesa","species","66500","Late Albian","","105.3","99.6","13823"
"285084","occ","12054","","27067","Animantarx ramaljonesi","species","63699","Late Albian","","105.3","99.6","12199"
"292785","occ","","","27876","Cetiosaurus oxoniensis","species","66688","Late Bajocian","","171.6","167.7","7643"
"292842","occ","","","27889","Stegopelta landerensis","species","63886","Late Albian","Early Cenomanian","105.3","93.5","7645"
